effect,component,group,term,estimate,std.error,ci_lb,ci_ub,scale,formula,response_name,response_tier,n,sig
fixed,cond,,Intercept,0.274441487667741,0.132666464707472,-0.000950420255866203,0.530562161554694,plot,1 + (1 | exclosure_id/cluster_id),plant_richness_plot,taxonomic_diversity,107,non-significant
fixed,cond,,Intercept,0.149651258346199,0.152466668448147,-0.149481579572839,0.436897965162956,site,1,plant_richness_site,taxonomic_diversity,6,non-significant
fixed,cond,,Intercept,-0.14432143827826,0.126901252847603,-0.390618315449527,0.105659409603982,plot,1 + (1 | exclosure_id/cluster_id),woody_richness_plot,taxonomic_diversity,78,non-significant
fixed,cond,,Intercept,-0.215868255218506,0.2533653645426,-0.726053851125786,0.238514732435447,site,1,woody_richness_site,taxonomic_diversity,6,non-significant
fixed,cond,,Intercept,0.317941439009153,0.17054191795522,-0.0584086259278277,0.626297708717339,plot,1 + (1 | exclosure_id/cluster_id),forb_richness_plot,taxonomic_diversity,81,non-significant
fixed,cond,,Intercept,0.296117164508748,0.190575402890934,-0.0977500165876812,0.660963505174504,site,1,forb_richness_site,taxonomic_diversity,6,non-significant
fixed,cond,,Intercept,0.344261548917558,0.151845928120371,0.0273311186786053,0.632951654116308,plot,1 + (1 | exclosure_id/cluster_id),graminoid_richness_plot,taxonomic_diversity,66,significant
fixed,cond,,Intercept,0.421741634972106,0.347208409149808,-0.272424908322283,1.10409294513152,site,1,graminoid_richness_site,taxonomic_diversity,6,non-significant
fixed,cond,,Intercept,-0.200518508549803,0.0910646835809398,-0.384242581819033,-0.0230292321293331,plot,1 + (1 | exclosure_id/cluster_id),berger_parker_plot,dominance,108,significant
fixed,cond,,Intercept,-0.320573095740499,0.0911866651189187,-0.491249082937527,-0.133090683583783,site,1,berger_parker_site,dominance,6,significant
fixed,cond,,Intercept,0.169494400510224,0.201401912104049,-0.242453500903417,0.551818201315458,plot,1 + (1 | exclosure_id/cluster_id),functional_dispersion_plot,functional_diversity,105,non-significant
fixed,cond,,Intercept,0.0103421092823778,0.134239438764667,-0.280643352582844,0.280731405897095,site,1,functional_dispersion_site,functional_diversity,6,non-significant
fixed,cond,,Intercept,-0.036764607838076,0.040380113609363,-0.118602318727973,0.0439105006039413,plot,1 + (1 | exclosure_id/cluster_id),functional_specialization_plot,functional_diversity,105,non-significant
fixed,cond,,Intercept,-0.0367675261690898,0.0475111024474819,-0.131296849221313,0.0628723273326718,site,1,functional_specialization_site,functional_diversity,6,non-significant
fixed,cond,,Intercept,0.133165759334878,0.074483695792639,-0.0181152373806976,0.289729109841286,plot,1 + (1 | exclosure_id/cluster_id),functional_diversity_plot,functional_diversity,108,non-significant
fixed,cond,,Intercept,0.11608007573592,0.153408552040243,-0.206687071830272,0.406496158740269,site,1,functional_diversity_site,functional_diversity,6,non-significant
fixed,cond,,Intercept,-0.362253723353736,0.158848444462834,-0.659786776589346,-0.026042516372834,plot,1 + (1 | exclosure_id/cluster_id),functional_nearerst_neighbour_distance_plot,functional_diversity,105,significant
fixed,cond,,Intercept,-0.128377355322121,0.153727479735133,-0.448059371171019,0.173308758447302,site,1,functional_nearerst_neighbour_distance_site,functional_diversity,6,non-significant
fixed,cond,,Intercept,0.211702232588335,0.129206513854859,-0.0488518625289134,0.459101724479393,plot,1 + (1 | exclosure_id/cluster_id),plant_evenness_plot,dominance,105,non-significant
fixed,cond,,Intercept,0.174825391311994,0.0822771118880351,0.0103590101807444,0.326092701068024,site,1,plant_evenness_site,dominance,6,significant
fixed,cond,,Intercept,0.343519347653575,0.172931481286786,-0.0212611333736167,0.676555927020582,plot,1 + (1 | exclosure_id/cluster_id),shannon_diversity_plot,taxonomic_diversity,105,non-significant
fixed,cond,,Intercept,0.223272832830862,0.104887685045003,0.0137473163120527,0.457417546689603,site,1,shannon_diversity_site,taxonomic_diversity,6,significant
fixed,cond,,Intercept,-0.135656433847431,0.0512250725951873,-0.254448755710976,-0.0397113434337027,plot,1 + (1 | exclosure_id/cluster_id),point_return_fraction_plot,structure,107,significant
fixed,cond,,Intercept,-0.141138424319622,0.0513371514935888,-0.238031926032056,-0.0337759857075353,site,1,point_return_fraction_site,structure,6,significant
fixed,cond,,Intercept,-0.380366462229339,0.0950924100673907,-0.561277363912679,-0.180232757413627,plot,1 + (1 | exclosure_id/cluster_id),mean_point_height_plot,structure,107,significant
fixed,cond,,Intercept,-0.420133682187314,0.148774249384988,-0.716454820904646,-0.131043884467927,site,1,mean_point_height_site,structure,6,significant
