effect,component,term,estimate,std.error,ci_lb,ci_ub,response_tier,formula_id,response,bayes_rsq,formula,tier,scale,delta_loo
fixed,cond,(Intercept),0.283127656440204,0.19470227933405,-0.153404232978781,0.646606907792381,richness_dominance,formula_1,forb_richness_plot,0.243,forb_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,-1.7787907358217
fixed,cond,berger_parker_plot,-0.282657620413216,0.166741976077584,-0.606147957787976,0.0470522319816052,richness_dominance,formula_1,forb_richness_plot,0.243,forb_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,-1.7787907358217
fixed,cond,mean_point_height_plot,0.0155552033408714,0.244419367758636,-0.453412745021373,0.501282069113974,richness_dominance,formula_1,forb_richness_plot,0.243,forb_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,-1.7787907358217
fixed,cond,point_return_fraction_plot,-0.146634218283841,0.452636536000118,-1.03835048500524,0.753468921259306,richness_dominance,formula_1,forb_richness_plot,0.243,forb_richness_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),richness_dominance,plot,-1.7787907358217
fixed,cond,(Intercept),0.0827074860323955,0.196991516340517,-0.32076605355093,0.468636399146434,fun_div_dominance,formula_2,functional_dispersion_plot,0.561,functional_dispersion_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,38.6428014190431
fixed,cond,berger_parker_plot,-0.828488450175087,0.133430317770468,-1.09476936503654,-0.571525778410865,fun_div_dominance,formula_2,functional_dispersion_plot,0.561,functional_dispersion_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,38.6428014190431
fixed,cond,mean_point_height_plot,0.0346868912564138,0.167789939492217,-0.295413278625044,0.36821090689587,fun_div_dominance,formula_2,functional_dispersion_plot,0.561,functional_dispersion_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,38.6428014190431
fixed,cond,point_return_fraction_plot,0.387220031284975,0.301815315607115,-0.206386279424177,0.9827464813038,fun_div_dominance,formula_2,functional_dispersion_plot,0.561,functional_dispersion_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,38.6428014190431
fixed,cond,(Intercept),0.053455413443087,0.0609199013925052,-0.063604038331145,0.180383317131728,fun_div_dominance,formula_3,functional_diversity_plot,0.763,functional_diversity_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,112.086936092189
fixed,cond,berger_parker_plot,-0.56424934148819,0.0421909093174166,-0.646821534918205,-0.481577762078415,fun_div_dominance,formula_3,functional_diversity_plot,0.763,functional_diversity_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,112.086936092189
fixed,cond,mean_point_height_plot,0.0362739613411652,0.0550948126467071,-0.070163300759847,0.144526811199195,fun_div_dominance,formula_3,functional_diversity_plot,0.763,functional_diversity_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,112.086936092189
fixed,cond,point_return_fraction_plot,0.0750627201026007,0.100737276061488,-0.124719436086035,0.275004054490506,fun_div_dominance,formula_3,functional_diversity_plot,0.763,functional_diversity_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,112.086936092189
fixed,cond,(Intercept),-0.186014768217538,0.176654711038147,-0.525135275415244,0.167790252338532,fun_div_dominance,formula_4,functional_nearerst_neighbour_distance_plot,0.229,functional_nearerst_neighbour_distance_plot ~ berger_parker_plot + mean_point_height_plot + point_return_fraction_plot + (1 | exclosure_id/cluster_id),fun_div_dominance,plot,8.8740516691775
