effect,component,term,estimate,std.error,statistic,p.value,scale,formula,response_name,response_tier,n,ci_ub,ci_lb,sig,percent_change,ci_ub_percent_change,ci_lb_percent_change,clean_response,clean_response_tier,biome_clean
fixed,cond,Savanna,0.472332136526624,0.0737939738019276,6.40068710480917,1.54679269699961e-10,plot,biome + 0 + (1 | exclosure_id/cluster_id),plant_richness_plot,taxonomic_diversity,107,0.616968325178402,0.327695947874846,significant,60.3729952574985,85.3300910632661,38.7766954643204,Plant Richness,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,0.0179220013602405,0.103775049244117,0.172700485239774,0.862886862357225,plot,biome + 0 + (1 | exclosure_id/cluster_id),plant_richness_plot,taxonomic_diversity,107,0.22132109787871,-0.185477095158229,non-significant,1.80835641596451,24.7724007780489,-16.9292137404833,Plant Richness,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,-0.0981747153017527,0.12646008035969,-0.776329692520476,0.43755434557873,plot,biome + 0 + (1 | exclosure_id/cluster_id),woody_richness_plot,taxonomic_diversity,78,0.149687042203239,-0.346036472806745,non-significant,-9.35094878457612,16.1470694534066,-29.2513317389126,Woody Richness,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,-0.203437154686134,0.14123285035503,-1.440437930515,0.149743538860231,plot,biome + 0 + (1 | exclosure_id/cluster_id),woody_richness_plot,taxonomic_diversity,78,0.0733792320097243,-0.480253541381991,non-significant,-18.4078520447074,7.61385657320435,-38.1373475503153,Woody Richness,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,0.495710854511254,0.127059292796448,3.90141361250448,9.56325898592358e-05,plot,biome + 0 + (1 | exclosure_id/cluster_id),forb_richness_plot,taxonomic_diversity,81,0.744747068392292,0.246674640630217,significant,64.1664809212688,110.590871673552,27.9762662260639,Forb Richness,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,0.113426377542537,0.162687447226105,0.697204237183068,0.485674987623097,plot,biome + 0 + (1 | exclosure_id/cluster_id),forb_richness_plot,taxonomic_diversity,81,0.432293774105704,-0.205441019020629,non-significant,12.0109420648485,54.0787692206521,-18.5711879338327,Forb Richness,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,0.435641081923729,0.0927426205099183,4.69731262205536,2.636068248347e-06,plot,biome + 0 + (1 | exclosure_id/cluster_id),graminoid_richness_plot,taxonomic_diversity,66,0.617416618123169,0.253865545724289,significant,54.5953824388235,85.4131918609017,28.8998481258866,Graminoid Richness,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,4.22140495043943e-10,0.249717147601242,1.69047459935764e-09,0.999999998651196,plot,biome + 0 + (1 | exclosure_id/cluster_id),graminoid_richness_plot,taxonomic_diversity,66,0.489445609720575,-0.489445608876294,non-significant,4.22140544742433e-08,63.1411530508776,-38.7033877017886,Graminoid Richness,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,-0.269084292594457,0.0777718369526349,-3.45991946619875,0.00054033696467333,plot,biome + 0 + (1 | exclosure_id/cluster_id),berger_parker_plot,dominance,108,-0.116651492167292,-0.421517093021621,significant,-23.5921153254721,-11.0104725399144,-34.3949225592356,Plant Dominance,Dominance,Savanna
fixed,cond,Thicket,-0.0659714426360186,0.109985986490884,-0.599816801583959,0.548628334648724,plot,biome + 0 + (1 | exclosure_id/cluster_id),berger_parker_plot,dominance,108,0.149601090886114,-0.281543976158151,non-significant,-6.38424018968335,16.1370868888203,-24.5382270243035,Plant Dominance,Dominance,Thicket
fixed,cond,Savanna,0.287505155497533,0.193654157874504,1.48463197822919,0.137641339621335,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_dispersion_plot,functional_diversity,105,0.667067304931562,-0.092056993936495,non-significant,33.3097464926179,94.8514534178627,-8.79468334365081,Plant Functional Dispersion,"Functional
Diversity",Savanna
