scale,clean_response,estimate_ci,p,z,percent_change_ci
plot,Plant Richness,0.29 (0.09; 0.48),0.003,2.93,33.05 (9.89; 61.08)
plot,Woody Richness,-0.14 (-0.33; 0.04),0.129,-1.52,-13.49 (-28.24; 4.29)
plot,Forb Richness,0.34 (0.09; 0.58),0.007,2.7,39.99 (9.67; 78.7)
plot,Graminoid Richness,0.38 (0.21; 0.56),0,4.32,46.64 (23.25; 74.48)
plot,Shannon Diversity,0.36 (0.09; 0.62),0.008,2.67,42.78 (9.89; 85.51)
plot,Vegetation Density,-0.13 (-0.2; -0.06),0,-3.74,-12.47 (-18.38; -6.14)
plot,Vegetation Height,-0.38 (-0.52; -0.24),0,-5.37,-31.69 (-40.55; -21.5)
plot,Plant Functional Dispersion,0.18 (-0.13; 0.48),0.251,1.15,19.36 (-11.76; 61.44)
plot,Plant Functional Diversity,0.13 (0.03; 0.23),0.011,2.55,14.09 (3.1; 26.24)
plot,Plant Functional Distance,-0.37 (-0.61; -0.13),0.003,-2.98,-30.94 (-45.85; -11.92)
plot,Plant Dominance,-0.2 (-0.34; -0.07),0.003,-2.93,-18.22 (-28.5; -6.45)
plot,Plant Evenness,0.21 (0.03; 0.4),0.026,2.23,23.95 (2.59; 49.76)
site,Plant Richness,0.15 (-0.02; 0.32),0.076,1.78,16.51 (-1.57; 37.92)
site,Woody Richness,-0.22 (-0.5; 0.07),0.133,-1.5,-19.35 (-39.07; 6.76)
site,Forb Richness,0.3 (0.06; 0.54),0.013,2.49,35.32 (6.65; 71.7)
site,Graminoid Richness,0.43 (0.03; 0.82),0.034,2.12,53.52 (3.29; 128.18)
site,Shannon Diversity,0.22 (0.09; 0.35),0.001,3.37,24.4 (9.57; 41.23)
site,Vegetation Density,-0.13 (-0.2; -0.07),0,-3.95,-12.36 (-17.92; -6.43)
site,Vegetation Height,-0.4 (-0.58; -0.22),0,-4.36,-32.85 (-43.86; -19.67)
site,Plant Functional Dispersion,0.01 (-0.16; 0.18),0.926,0.09,0.81 (-14.95; 19.48)
site,Plant Functional Diversity,0.14 (-0.02; 0.29),0.084,1.73,14.47 (-1.79; 33.42)
site,Plant Functional Distance,-0.12 (-0.33; 0.08),0.23,-1.2,-11.68 (-27.91; 8.2)
site,Plant Dominance,-0.33 (-0.43; -0.22),0,-5.99,-27.76 (-35.05; -19.66)
site,Plant Evenness,0.18 (0.09; 0.27),0,3.78,19.54 (8.97; 31.13)
