Site,clean_response,estimate_ci,p,z,percent_change_ci
Jack's,Plant Dominance,0.05 (-0.24; 0.34),0.735,0.34,5.07 (-21.16; 40.03)
Nyathi,Plant Dominance,-0.18 (-0.47; 0.11),0.216,-1.24,-16.59 (-37.41; 11.15)
Nkuhlu,Plant Dominance,-0.34 (-0.63; -0.06),0.019,-2.34,-29.04 (-46.75; -5.43)
Nwaswitshumbe,Plant Dominance,-0.4 (-0.69; -0.11),0.006,-2.74,-33.11 (-49.81; -10.85)
Satara,Plant Dominance,-0.05 (-0.34; 0.24),0.734,-0.34,-4.87 (-28.61; 26.79)
PNR,Plant Dominance,-0.28 (-0.57; 0.01),0.055,-1.92,-24.53 (-43.37; 0.58)
Jack's,Forb Richness,0.17 (-0.26; 0.59),0.441,0.77,18.05 (-22.6; 80.05)
Nyathi,Forb Richness,0.06 (-0.37; 0.49),0.786,0.27,6.21 (-31.21; 64)
Nkuhlu,Forb Richness,0.77 (0.36; 1.18),0,3.65,115.16 (42.62; 224.59)
Nwaswitshumbe,Forb Richness,0.24 (-0.21; 0.69),0.291,1.06,27.21 (-18.6; 98.8)
Satara,Forb Richness,0.37 (-0.09; 0.83),0.118,1.56,44.59 (-8.97; 129.67)
PNR,Forb Richness,0.63 (-0.04; 1.3),0.066,1.84,87.71 (-4.08; 267.35)
Jack's,Plant Functional Dispersion,-0.06 (-0.44; 0.31),0.74,-0.33,-6.2 (-35.72; 36.87)
Nyathi,Plant Functional Dispersion,0.07 (-0.3; 0.45),0.699,0.39,7.73 (-26.17; 57.2)
Nkuhlu,Plant Functional Dispersion,-0.12 (-0.5; 0.26),0.532,-0.63,-11.36 (-39.25; 29.34)
Nwaswitshumbe,Plant Functional Dispersion,0.42 (0.05; 0.8),0.028,2.2,52.9 (4.78; 123.11)
Satara,Plant Functional Dispersion,-0.21 (-0.61; 0.19),0.306,-1.02,-18.78 (-45.45; 20.92)
PNR,Plant Functional Dispersion,1.06 (0.67; 1.44),0,5.35,187.65 (95.27; 323.73)
Jack's,Plant Functional Diversity,0.03 (-0.16; 0.22),0.734,0.34,3.32 (-14.43; 24.74)
Nyathi,Plant Functional Diversity,0.17 (-0.02; 0.36),0.078,1.76,18.5 (-1.86; 43.07)
Nkuhlu,Plant Functional Diversity,0.04 (-0.14; 0.23),0.651,0.45,4.45 (-13.49; 26.11)
Nwaswitshumbe,Plant Functional Diversity,0.13 (-0.05; 0.32),0.163,1.39,14.34 (-5.3; 38.06)
Satara,Plant Functional Diversity,-0.01 (-0.2; 0.18),0.912,-0.11,-1.06 (-18.05; 19.46)
PNR,Plant Functional Diversity,0.4 (0.21; 0.59),0,4.18,49.52 (23.83; 80.53)
Jack's,Plant Functional Distance,-0.15 (-0.53; 0.22),0.425,-0.8,-14.3 (-41.35; 25.23)
Nyathi,Plant Functional Distance,0.02 (-0.36; 0.4),0.902,0.12,2.42 (-29.91; 49.67)
Nkuhlu,Plant Functional Distance,-0.63 (-1.01; -0.25),0.001,-3.27,-46.93 (-63.68; -22.45)
Nwaswitshumbe,Plant Functional Distance,-0.48 (-0.86; -0.1),0.014,-2.46,-37.88 (-57.49; -9.23)
Satara,Plant Functional Distance,-1 (-1.4; -0.59),0,-4.86,-63.11 (-75.33; -44.84)
PNR,Plant Functional Distance,-0.26 (-0.65; 0.13),0.188,-1.32,-23.05 (-47.92; 13.69)
Jack's,Plant Functional Richness,-0.02 (-0.16; 0.13),0.81,-0.24,-1.76 (-15.05; 13.6)
Nyathi,Plant Functional Richness,0.03 (-0.12; 0.17),0.69,0.4,3 (-10.93; 19.1)
Nkuhlu,Plant Functional Richness,-0.04 (-0.19; 0.1),0.562,-0.58,-4.2 (-17.16; 10.78)
Nwaswitshumbe,Plant Functional Richness,-0.16 (-0.31; -0.02),0.028,-2.2,-15.04 (-26.53; -1.75)
Satara,Plant Functional Richness,0.12 (-0.03; 0.26),0.109,1.6,12.6 (-2.62; 30.21)
PNR,Plant Functional Richness,0.34 (0.19; 0.48),0,4.55,40.16 (21.2; 62.08)
