species,spines,leaf_type,growth_form,leaf_length,leaf_width,plant_height_max,biomass_density
Abutilon austroafricanum,n,simple,straight_forb,5.275,2.775,85,low
Abutilon grandifolium,n,simple,straight_forb,9.15,7.96,145,medium
Abutilon rehmannii,n,simple,straight_forb,3.87,3.06,85,medium
Abutilon sonneratianum,n,simple,straight_forb,3.645,2.87,190,low
Achyranthes aspera,n,simple,straight_forb,5.55,3.07,160,low
Aizoon pubescens,n,simple,round_forb,2.08,1.1,11,medium
Albizia harveyi,n,pinnately_compound,shrub_single_stemmed,13.9,6.1,180,medium
Aloe africana,n,succulent,succulent_shrub_single_stemmed,49.4,4,294,high
Aristida adscensionis,n,linear,sparse_upward_graminoid,19.125,0.225,58,low
Aristida bipartita,n,linear,sparse_upward_graminoid,8,0.3,30,low
Asparagus africanus,<2,simple,messy_forb,1.69090909090909,0.1,296,low
Asparagus asparagoides,n,simple,climbing_forb,3.9,2.1,106,low
Asparagus burchellii,<2,simple,climbing_forb,0.47,0.05,145,low
Asparagus crassicladus,<2,linear,messy_forb,2.6,0.1,172,low
Asparagus densiflorus,<2,simple,round_forb,1.43333333333333,0.1,200,low
Asparagus striatus,n,simple,messy_forb,2.96,0.31,48,low
Asparagus subulatus,n,linear,messy_forb,2.8,0.1,155,low
Aspilia mossambicensis,n,simple,shrub_multi_stemmed,6.8,2.24,110,extremely_thick
Azima tetracantha,>2,simple,shrub_multi_stemmed,2.82,1.68148148148148,295,extremely_thick
Balanites maughamii,>2,simple,tree_multi_stemmed,2.7,1.6,420,high
Barleria elegans,n,simple,straight_forb,8.24,3.57,128,low
Blepharis integrifolia,n,simple,straight_forb,3.05,0.55,15,low
Bolusanthus speciosus,n,pinnately_compound,shrub_multi_stemmed,18.7857142857143,10.9142857142857,400,medium
Bothriochloa insculpta,n,linear,relaxed_tussock_graminoid,13.8571428571429,0.557142857142857,62,low
Cadaba aphylla,n,absent,round_forb,0.828571428571429,0.278571428571429,163,high
Capparis sepiaria,<2,simple,shrub_multi_stemmed,3.815,1.725,340,low
Capparis tomentosa,<2,simple,shrub_single_stemmed,3.73333333333333,1.63333333333333,150,low
Cardiospermum halicacabum,n,palmately_compound,creeping_forb,4.92,5.44,70,low
Carissa bispinosa,>2,simple,shrub_multi_stemmed,2.81875,1.39375,280,high
Cassine peragua,n,simple,tree_multi_stemmed,4.7,2.05,200,low
Cenchrus ciliaris,n,linear,angry_tussock_graminoid,21.12,0.64,110,low
Ceratotheca triloba,n,lobed,straight_forb,4.64,4.24,112,low
Chaenostoma campanulatum,n,simple,messy_forb,1.78,0.81,30.4,low
Chamaecrista absus,n,pinnately_compound,straight_forb,3.6125,3.2125,54,low
Chamaecrista comosa,n,pinnately_compound,straight_forb,3.7375,0.7,37,low
Chamaecrista mimosoides,n,pinnately_compound,straight_forb,6.44,0.98,70,low
Chascanum hederaceum,n,simple,creeping_forb,3,2.43333333333333,30,medium
Cheilanthes viridis,n,pinnately_compound,round_forb,5.24,2.9,25,low
Chloris virgata,n,linear,sparse_upward_graminoid,7.25,0.4,40,low
Cissus cornifolia,n,simple,shrub_single_stemmed,5.5,1.8,90,high
Clausena anisata,n,pinnately_compound,tree_single_stemmed,7.75,3.8,200,high
Colophospermum mopane,n,palmately_compound,tree_multi_stemmed,8.84,7.76,900,high
Combretum apiculatum,n,simple,shrub_multi_stemmed,5.63,3.3,500,high
Combretum hereroense,n,simple,tree_multi_stemmed,3.6,2.16923076923077,550,extremely_thick
Combretum imberbe,n,simple,tree_multi_stemmed,3.28,1.62,570,high
Commelina africana,n,simple,straight_forb,5.15882352941177,1.34117647058824,45,low
Commelina benghalensis,n,simple,creeping_forb,3.93076923076923,2.23076923076923,27,medium
Commelina erecta,n,simple,straight_forb,9.67142857142857,1.54285714285714,90,low
Commiphora africana,n,palmately_compound,shrub_single_stemmed,4.09090909090909,2.84545454545455,210,medium
Commiphora pyracanthoides,>2,simple,tree_multi_stemmed,3.75,2,410,medium
Corbichonia decumbens,n,simple,round_forb,2.75,2.1,20,low
Corchorus confusus,n,simple,straight_forb,4.03,0.78,50,low
Cordia monoica,n,simple,tree_multi_stemmed,6,3,350,high
Cordylostigma virgatum,n,simple,round_forb,2.9875,0.45625,40,low
Cotyledon velutina,n,succulent,succulent_straight_forb,7.86,4.12,210,low
Crabbea hirsuta,n,simple,round_forb,9.27142857142857,2.81428571428571,23,high
Crassula cultrata,n,succulent,succulent_messy_forb,4.00666666666667,1.19333333333333,34,high
Crassula expansa,n,succulent,succulent_round_forb,0.766666666666667,0.133333333333333,12,medium
Crassula ovata,n,simple,shrub_single_stemmed,4.14,2.38,196,high
Crassula perforata,n,succulent,succulent_messy_forb,2.84,1.2,94,medium
Crassula pubescens,n,succulent,succulent_round_forb,3.52,1.1,14,medium
Crassula spathulata,n,succulent,succulent_messy_forb,1.68,1.66666666666667,56,low
Crassula tetragona,n,lobed,straight_forb,2.23,0.74,86,high
Crossandra greenstockii,n,simple,cushion_forb,6.75,3.55,6,high
Crotalaria podocarpa,n,palmately_compound,straight_forb,3.25,3.45,41,low
Cup leaf,n,simple,straight_forb,2.93,1.61,48,low
Cynanchum ellipticum,n,simple,climbing_forb,3.025,1.725,138,low
Cynanchum viminale,n,absent,climbing_forb,,,430,low
Cynodon dactylon,n,linear,creeping_graminoid,5.67,0.33,18,high
Cyperus cyperoides,n,linear,straight_forb,12.5,0.25,42,low
Cyperus dubius,n,linear,relaxed_tussock_graminoid,20,0.3,11,low
Cyperus rupestris,n,linear,relaxed_tussock_graminoid,14,0.1,10,low
Dalbergia melanoxylon,>2,pinnately_compound,shrub_single_stemmed,8.2,3.7,230,low
Dalechampia capensis,n,lobed,creeping_forb,6.625,4.5,30,low
Delosperma subincanum,n,succulent,succulent_messy_forb,2.56,0.72,27,medium
Dichrostachys cinerea,>2,pinnately_compound,shrub_multi_stemmed,4.75625,3.546875,450,medium
Digitaria eriantha,n,linear,sparse_upward_graminoid,26.9,0.713333333333333,105,low
Dovyalis zeyheri,<2,simple,shrub_multi_stemmed,7,3.2,130,high
Drosanthemum hispidum,n,succulent,succulent_round_forb,1.69,0.38,30,high
Ehretia amoena,n,simple,shrub_multi_stemmed,7.15,2.35,114,low
Ehretia rigida,n,simple,shrub_single_stemmed,4.29,2.08,320,low
Enneapogon cenchroides,n,linear,sparse_upward_graminoid,14.2,0.41,81,low
Enneapogon scoparus,n,linear,creeping_graminoid,10,0.1,5,low
Eragrostis cylindrifolia,n,linear,sparse_upward_graminoid,15.5,0.4,39,low
Eragrostis superba,n,linear,sparse_upward_graminoid,12.95,0.49,60,low
Eriosema sp. 1,n,palmately_compound,messy_forb,8.39,8.43,190,medium
Euclea divinorum,n,simple,shrub_multi_stemmed,7.13,2.64,200,high
Euclea undulata,n,pinnately_compound,tree_multi_stemmed,2.335,1.14,450,medium
Euphorbia mauritanica,n,succulent,succulent_round_forb,0.6,0.2,161,high
Evolvulus alsinoides,n,simple,straight_forb,1.40714285714286,0.521428571428571,33,low
Evolvulus sericeus,n,simple,straight_forb,1.66,0.73,30,low
Fabaceae sp. 5,n,palmately_compound,straight_forb,1.25,2.75,35,low
Flueggea verrucosa,n,simple,shrub_multi_stemmed,1.46,1,214,high
Flueggea virosa,n,simple,shrub_multi_stemmed,1.9,1.18333333333333,140,medium
Gardenia volkensii,n,simple,shrub_single_stemmed,3.15,1.25,84,high
Grewia bicolor,n,simple,shrub_multi_stemmed,6.7,2.9625,220,high
Grewia flava,n,simple,shrub_multi_stemmed,4.5,2,120,medium
Grewia flavescens,n,simple,shrub_multi_stemmed,6.225,2.7125,250,high
Grewia occidentalis,n,simple,shrub_multi_stemmed,3.58181818181818,2.26363636363636,250,low
Grewia villosa,n,simple,shrub_single_stemmed,10,9,185,low
Gymnosporia buxifolia,>2,simple,shrub_single_stemmed,4.23333333333333,1.14,266,medium
Gymnosporia maranguensis,>2,simple,tree_single_stemmed,2.45,0.95,215,medium
Gymnosporia polyacanthus,>2,simple,shrub_single_stemmed,3.685,0.9,207,extremely_thick
Gymnosporia senegalensis,>2,simple,shrub_multi_stemmed,5.8375,2.4125,268,medium
Hairy climber,n,simple,climbing_forb,6.74,2.98,105,low
Heliotropium ciliatum,n,simple,straight_forb,2.72,0.64,78,low
Heliotropium steudneri,n,simple,straight_forb,3.58,0.695,67,low
Heliotropium strigosum,n,simple,messy_forb,3,0.5,23,medium
Hermannia althaeoides,n,simple,round_forb,2.44,1.5,41,low
Hermbstaedtia odorata,n,simple,straight_forb,3.0125,0.5375,42,low
Heteropogon contortus,n,linear,sparse_upward_graminoid,19.4954545454545,0.436363636363636,110,low
Hibiscus micranthus,n,simple,straight_forb,3.425,1.91,91,low
Hibiscus pusillus,n,lobed,straight_forb,5.2,4.55,55,low
Hibiscus sidiformis,n,palmately_compound,straight_forb,3.07777777777778,2.74444444444444,63,low
Hibiscus vitifolius,n,simple,straight_forb,4.92,5.16,134,low
Hypoestes aristata,n,simple,round_forb,3.64,1.9,90,low
Hypoestes forskaolii,n,simple,straight_forb,2.05,1.5,30,low
Indigastrum sp. 1,n,pinnately_compound,straight_forb,1.8,1.3,25,low
Indigofera filipes,n,pinnately_compound,straight_forb,4.5,2.25,47,low
Indigofera holubii,n,pinnately_compound,straight_forb,5.33,4.37,80,medium
Indigofera schimperi,n,pinnately_compound,round_forb,8,6,26,medium
Indigofera tinctoria,n,pinnately_compound,shrub_single_stemmed,6.6,3.65,90,low
Indigofera vicioides,n,pinnately_compound,straight_forb,3.15,1.7125,38,low
Ipomea ficifolia,n,lobed,climbing_forb,6.9,5.42,36,low
Ipomoea plebeia,n,simple,climbing_forb,3.55555555555556,2.16666666666667,65,low
Ipomoea sinensis,n,simple,climbing_forb,3.875,3.1375,45,medium
Jasminum stenolobum,n,simple,shrub_multi_stemmed,4.6,1.2,105,medium
Jatropha capensis,n,simple,shrub_single_stemmed,5.76,1.7,120,low
Justicia flava,n,simple,straight_forb,5.7,2.02,52,medium
Justicia protracta,n,simple,straight_forb,3.825,2.225,38,low
Kyphocarpa angustifolia,n,simple,straight_forb,3.93333333333333,0.266666666666667,44,low
Lannea schweinfurthii,n,palmately_compound,shrub_single_stemmed,14.4454545454545,7.46363636363636,350,high
Lantana camara,n,simple,shrub_multi_stemmed,6.67,4.06,270,extremely_thick
Lantana rugosa,n,simple,straight_forb,4.38461538461539,2.06153846153846,123,low
Lauridia tetragona,n,simple,shrub_single_stemmed,4.26,2.06,100,low
Ledebouria cooperi,n,linear,round_forb,37,2.4,41,low
Ledebouria revoluta,n,simple,cushion_forb,4.74666666666667,2.30666666666667,10,high
Leucas glabrata,n,simple,straight_forb,3.25,0.825,48,low
Litogyne gariepina,n,simple,straight_forb,2.6,1.1,43,medium
Maerua cafra,n,pinnately_compound,tree_single_stemmed,4.7,3.76,410,low
Maerua parvifolia,n,simple,shrub_single_stemmed,0.82,0.44,64,low
Melhania acuminata,n,simple,straight_forb,7.54,3.86,66,medium
Melhania prostrata,n,simple,straight_forb,7.6625,2.0125,70,low
Merremia palmata,n,lobed,climbing_forb,5.78,5.4,70,low
Mystroxylon aethiopicum,n,simple,tree_multi_stemmed,2.475,1.875,210,medium
Nidorella sp. 1,n,lobed,straight_forb,3.22857142857143,0.828571428571429,85,low
Ocimum filamentosum,n,simple,straight_forb,3.23333333333333,1.26666666666667,90,medium
Ocimum obovatum,n,simple,straight_forb,3.375,1.35,32,low
Ormocarpum trichocarpum,n,pinnately_compound,shrub_single_stemmed,2.45833333333333,1.18333333333333,90,low
Ozoroa paniculosa,n,simple,shrub_multi_stemmed,9.525,3.25,374,high
Ozoroa sphaerocarpa,n,simple,tree_single_stemmed,8.6,1.6,190,low
Panicum coloratum,n,linear,sparse_upward_graminoid,18.5961538461538,0.703846153846154,88,low
Panicum deustum,n,linear,relaxed_tussock_graminoid,23.1846153846154,1.29615384615385,100,low
Panicum maximum,n,linear,relaxed_tussock_graminoid,22.9854545454545,1.08909090909091,152,low
Pappea capensis,n,simple,shrub_single_stemmed,7.02727272727273,2.33636363636364,270,medium
Paramollugo nudicaulis,n,simple,cushion_forb,1.7,0.8,2,medium
Parapolydora fastigiata,n,simple,straight_forb,6.37857142857143,0.785714285714286,80,low
Parthenium hysterophorus,n,lobed,straight_forb,8,4,70,low
Pelargonium peltatum,n,succulent,succulent_climbing_forb,4.31,4.11,161,low
Perotis patens,n,simple,sparse_upward_graminoid,2.66666666666667,0.7,18,low
Philenoptera violacea,n,palmately_compound,shrub_multi_stemmed,15.2636363636364,10.3818181818182,340,high
Phyllanthus asperulatus,n,simple,straight_forb,1.68,0.72,70,low
Phyllanthus maderaspatensis,n,simple,straight_forb,1.925,0.441666666666667,47,low
Phyllanthus tenellus,n,pinnately_compound,straight_forb,3.93333333333333,1.78333333333333,38,low
Pigea serrata,n,simple,straight_forb,4.36,0.86,45,medium
Plectranthus madagascariensis,n,simple,messy_forb,3.42,3.26,50.3,high
Plumbago auriculata,n,simple,round_forb,5.6,2.15,90,high
Poaceae sp. 1,n,linear,sparse_upward_graminoid,10.25,0.35,40,low
Pogonarthria squarrosa,n,linear,sparse_upward_graminoid,13.98,0.34,16,low
Polygala sphenoptera,n,simple,round_forb,2.35,0.95,20,low
Portulacaria afra,n,succulent,succulent_shrub_multi_stemmed,1.965,1.36,450,extremely_thick
Pristimera longipetiolata,n,simple,shrub_single_stemmed,9,2,90,low
Ptaeroxylon obliquum,n,pinnately_compound,tree_single_stemmed,11,5.18,480,medium
Ptycholobium plicatum,n,palmately_compound,creeping_forb,3.1,3.28,32,medium
Pupalia lappacea,n,simple,straight_forb,6.6125,3.0625,46,low
Putterlickia pyracantha,>2,simple,shrub_multi_stemmed,2.5,1.2,163,high
Putterlickia verrucosa,>2,simple,shrub_single_stemmed,2.5,2,210,medium
Rhoicissus digitata,n,palmately_compound,climbing_forb,9.75,9.3,330,low
Rhoicissus tridentata,n,palmately_compound,creeping_forb,3.56,3.50666666666667,80,low
Rhynchosia totta,n,palmately_compound,climbing_forb,3.7,4.28571428571429,60,low
