plot_id,species,cover,life_form,site_id,date,time,n_forb_flowers,n_grass_flowers,lidar_scanner_height,woody_height,herb_height,bare_ground_cover,rock_cover,herbivore_signs,notes,plot_number,exclosure_id,setup_id,pair_id,cluster_number,cluster_id,in_or_out,plant_richness_plot,plant_richness_cluster,plant_richness_site,woody_richness_plot,woody_richness_cluster,woody_richness_site,forb_richness_plot,forb_richness_cluster,forb_richness_site,graminoid_richness_plot,graminoid_richness_cluster,graminoid_richness_site
knp_nkuhlu_full_in_2,Combretum hereroense,10,Tree,knp_nkuhlu_full_in,18.02.2025,9:26,3,4,91,300,30,80,0,browsing damage - liley rodent,"",2,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_2,1,knp_nkuhlu_full_in_1,inside,14,20,47,6,8,18,7,10,25,1,2,8
knp_satara_out_13,Bothriochloa insculpta,100,Graminoid,knp_satara_out,22.02.2025,13:02,1,8,96,110,55,2,0,elephant path,"",13,knp_satara,knp_satara,knp_satara_13,5,knp_satara_out_5,outside,7,12,36,2,2,10,3,5,19,2,5,9
knp_roan_in_16,Cenchrus ciliaris,100,Graminoid,knp_roan_in,26.02.2025,13:55,0,4,93,170,43,5,0,none,very thick moribund layer,16,knp_roan,knp_roan,knp_roan_16,6,knp_roan_in_6,inside,5,14,40,2,5,14,,,,3,5,11
knp_satara_in_11,Panicum coloratum,100,Graminoid,knp_satara_in,20.02.2025,13:50,0,45,92,0,50,2,0,none,very (!) thick dead layer,11,knp_satara,knp_satara,knp_satara_11,4,knp_satara_in_4,inside,1,10,30,,,,,,,1,3,6
knp_satara_in_15,Panicum coloratum,100,Graminoid,knp_satara_in,22.02.2025,15:15,0,22,93,0,62,5,0,none,very thick moribund layer,15,knp_satara,knp_satara,knp_satara_15,5,knp_satara_in_5,inside,1,6,30,,,,,,,1,4,6
knp_satara_in_5,Panicum coloratum,100,Graminoid,knp_satara_in,20.02.2025,11:57,0,28,92,10,27.2,5,0,none,"",5,knp_satara,knp_satara,knp_satara_5,2,knp_satara_in_2,inside,4,10,30,2,4,14,1,3,11,1,3,6
knp_nkuhlu_full_in_16,Panicum maximum,100,Graminoid,knp_nkuhlu_full_in,21.02.2025,8:39,0,93,96,150,75,0,0,none,very thick moribound layer,16,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_16,6,knp_nkuhlu_full_in_6,inside,5,12,47,3,6,18,1,5,25,1,1,8
knp_nkuhlu_full_out_5,Panicum maximum,100,Graminoid,knp_nkuhlu_full_out,19.02.2025,10:30,0,74,94,70,41,0,0,elephant dung,"",5,knp_nkuhlu_full,knp_nkuhlu_full,knp_nkuhlu_full_5,2,knp_nkuhlu_full_out_2,outside,10,26,70,5,10,18,4,10,38,1,6,16
knp_roan_in_11,Panicum maximum,100,Graminoid,knp_roan_in,26.02.2025,11:53,0,31,92,4,62,0,0,none,moribund layer,11,knp_roan,knp_roan,knp_roan_11,4,knp_roan_in_4,inside,3,9,40,1,3,14,1,3,16,1,3,11
knp_roan_in_12,Panicum maximum,100,Graminoid,knp_roan_in,26.02.2025,12:12,0,43,94,42,101,10,0,none,"",12,knp_roan,knp_roan,knp_roan_12,4,knp_roan_in_4,inside,3,9,40,1,3,14,1,3,16,1,3,11
knp_roan_in_14,Panicum maximum,100,Graminoid,knp_roan_in,26.02.2025,13:10,2,55,95,50,93,15,0,none,"",14,knp_roan,knp_roan,knp_roan_14,5,knp_roan_in_5,inside,6,13,40,2,5,14,3,4,16,1,4,11
knp_roan_in_2,Panicum maximum,100,Graminoid,knp_roan_in,26.02.2025,8:51,0,41,94,140,76,0,0,none,"",2,knp_roan,knp_roan,knp_roan_2,1,knp_roan_in_1,inside,4,11,40,2,6,14,1,1,16,1,4,11
knp_roan_in_8,Panicum maximum,100,Graminoid,knp_roan_in,26.02.2025,10:55,0,47,93,160,72,5,0,none,"",8,knp_roan,knp_roan,knp_roan_8,3,knp_roan_in_3,inside,6,14,40,1,3,14,4,6,16,1,5,11
knp_satara_in_16,Panicum maximum,100,Graminoid,knp_satara_in,22.02.2025,15:31,0,35,93,21,76,0,0,none,very thick moribund layer,16,knp_satara,knp_satara,knp_satara_16,6,knp_satara_in_6,inside,4,12,30,2,4,14,1,4,11,1,4,6
pnr_in_10,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,12:30,0,0,92,70,25.2,0,0,none,"",10,pnr,pnr,pnr_10,4,pnr_in_4,inside,4,7,31,3,6,14,,,,1,1,7
pnr_in_11,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,12:55,0,46,93,200,21.6,0,0,none,"",11,pnr,pnr,pnr_11,4,pnr_in_4,inside,3,7,31,2,6,14,,,,1,1,7
pnr_in_12,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,13:15,0,42,93,40,33.6,0,0,none,"",12,pnr,pnr,pnr_12,4,pnr_in_4,inside,3,7,31,2,6,14,,,,1,1,7
pnr_in_13,Panicum maximum,100,Graminoid,pnr_in,13.02.2025,13:52,0,96,93,210,23.6,0,0,none,"",13,pnr,pnr,pnr_13,5,pnr_in_5,inside,4,4,31,3,3,14,,,,1,1,7
