species,spines,leaf_type,life_form,growth_form,n_samples_growth_form,growth_form_simple,biomass_density,n_samples_biomass_density,leaf_length,n_samples_leaf_length,leaf_width,n_samples_leaf_width,plant_height_max,plant_height_mean,n_samples_plant_height,leaf_size,leaf_area,n_samples_leaf_size,biomass_density_ordinal
Abutilon austroafricanum,n,simple,forb,straight_forb,4,straight_herb,low,4,5.275,4,2.775,4,85,58.5,4,8.05,15.105,4,1
Abutilon grandifolium,n,simple,forb,straight_forb,10,straight_herb,medium,10,9.15,10,7.96,10,145,96.5,10,17.11,76.41,10,2
Abutilon rehmannii,n,simple,forb,straight_forb,10,straight_herb,medium,10,3.87,10,3.06,10,85,36.8,10,6.93,12.08,10,2
Abutilon sonneratianum,n,simple,forb,straight_forb,20,straight_herb,low,20,3.645,20,2.87,20,190,44.05,20,6.515,12.5405,20,1
Achyranthes aspera,n,simple,forb,straight_forb,10,straight_herb,low,10,5.55,10,3.07,10,160,78.4,10,8.62,17.427,10,1
Aizoon pubescens,n,simple,forb,round_forb,5,round_herb,medium,5,2.08,5,1.1,5,11,8.4,5,3.18,2.51,5,2
Albizia harveyi,n,pinnately_compound,shrub,shrub_single_stemmed,5,single_stemmed_woody,medium,5,13.9,5,6.1,5,180,124.2,5,20,85.94,5,2
Aloe africana,n,succulent,tree,succulent_shrub_single_stemmed,5,single_stemmed_woody,high,5,49.4,5,4,5,294,158.4,5,53.4,201,5,3
Aristida adscensionis,n,linear,graminoid,sparse_upward_graminoid,4,straight_herb,low,4,19.125,4,0.225,4,58,42.75,4,19.35,4.3625,4,1
Aristida bipartita,n,linear,graminoid,sparse_upward_graminoid,5,straight_herb,low,5,8,5,0.3,5,30,25,5,8.3,2.42,5,1
Asparagus africanus,<2,simple,forb,messy_forb,11,messy_herb,low,11,1.69090909090909,11,0.1,11,296,85.2727272727273,11,1.79090909090909,0.169090909090909,11,1
Asparagus asparagoides,n,simple,forb,climbing_forb,3,climbing_herb,low,3,3.9,5,2.1,5,106,56.6666666666667,3,6,8.2,5,1
Asparagus burchellii,<2,simple,forb,climbing_forb,10,climbing_herb,low,10,0.47,10,0.05,10,145,74.7,10,0.52,0.0235,10,1
Asparagus crassicladus,<2,linear,forb,messy_forb,20,messy_herb,low,20,2.6,20,0.1,20,172,70.75,20,2.7,0.26,20,1
