abbreviation,meaning
a,absent
at,angry_tussock_graminoid
cuf,cushion_forb
cg,creeping_graminoid
clf,climbing_forb
crf,creeping_forb
eh,extremely_thick
f,forb
g,graminoid
h,high
l,low
lg,large_graminoid
li,linear
lo,lobed
m,medium
mf,messy_forb
mss,shrub_multi_stemmed
mst,tree_multi_stemmed
p,parasite
pac,palmately_compound
pic,pinnately_compound
rf,round_forb
rt,relaxed_tussock_graminoid
s,shrub
sf,straight_forb
sg,sparse_upward_graminoid
si,simple
sss,shrub_single_stemmed
sst,tree_single_stemmed
sucuf,succulent_cushion_forb
suclf,succulent_climbing_forb
sucrf,succulent_creeping_forb
sumf,succulent_messy_forb
sumss,succulent_shrub_multi_stemmed
sumst,succulent_tree_multi_stemmed
surf,succulent_round_forb
susf,succulent_straight_forb
susss,succulent_shrub_single_stemmed
susst,succulent_tree_single_stemmed
t,tree
