"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"1","species","","","[No match found]","","","","","","","","Species","","","","","","","","","","","","","","","","","","","","","","","","","","","","",999,"999","","","1",false,false
"2","Combretum hereroense","1","609356","Combretum hereroense","1","species","","","","Schinz","Combretaceae","Combretum","Combretum","1","hereroense","hereroense","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170145-1","","Y","Accepted","Combretum hereroense","Combretum hereroense","Schinz","609356","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170145-1","","Combretaceae",1,"1","wcvp","","2",true,true
"3","Bothriochloa insculpta","1","845524","Bothriochloa insculpta","1","species","","","","(Hochst. ex A.Rich.) A.Camus","Poaceae","Bothriochloa","Bothriochloa","1","insculpta","insculpta","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:392721-1","","Y","Accepted","Bothriochloa insculpta","Bothriochloa insculpta","(Hochst. ex A.Rich.) A.Camus","845524","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:392721-1","","Poaceae",1,"1","wcvp","","3",true,true
"4","Cenchrus ciliaris","1","850300","Cenchrus ciliaris","1","species","","","","L.","Poaceae","Cenchrus","Cenchrus","1","ciliaris","ciliaris","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:395214-1","","Y","Accepted","Cenchrus ciliaris","Cenchrus ciliaris","L.","850300","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:395214-1","","Poaceae",1,"1","wcvp","","4",true,true
"5","Panicum coloratum","1","875285","Panicum coloratum","1","species","","","","L.","Poaceae","Panicum","Panicum","1","coloratum","coloratum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:410989-1","","Y","Accepted","Panicum coloratum","Panicum coloratum","L.","875285","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:410989-1","","Poaceae",1,"1","wcvp","","5",true,true
"5","Panicum coloratum","1","1718470","Panicum coloratum","1","species","","","","Walter","Poaceae","Panicum","Panicum","1","coloratum","coloratum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77244574-1","","Y","Illegitimate","Panicum virgatum","Panicum virgatum","L.","878574","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:413537-1","","Poaceae",2,"3","wcvp","[HigherTaxa]","5",false,false
"5","Panicum coloratum","1","875287","Panicum coloratum","1","species","","","","Thouars ex Spreng.","Poaceae","Panicum","Panicum","1","coloratum","coloratum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:410987-1","","Y","Invalid","Tricholaena monachne","Tricholaena monachne","(Trin.) Stapf & C.E.Hubb.","895931","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:424606-1","","Poaceae",3,"2","wcvp","[Overall]","5",false,false
"6","Panicum maximum","1","876835","Panicum maximum","1","species","","","","Jacq.","Poaceae","Panicum","Panicum","1","maximum","maximum","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:321830-2","","Y","Synonym","Megathyrsus maximus","Megathyrsus maximus","(Jacq.) B.K.Simon & S.W.L.Jacobs","870682","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60426565-2","","Poaceae",1,"1","wcvp","","6",true,true
"7","Schmidtia pappophoroides","1","890067","Schmidtia pappophoroides","1","species","","","","Steud. ex J.A.Schmidt","Poaceae","Schmidtia","Schmidtia","1","pappophoroides","pappophoroides","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:421051-1","","Y","Accepted","Schmidtia pappophoroides","Schmidtia pappophoroides","Steud. ex J.A.Schmidt","890067","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:421051-1","","Poaceae",1,"1","wcvp","","7",true,true
"8","Themeda triandra","1","895278","Themeda triandra","1","species","","","","Forssk.","Poaceae","Themeda","Themeda","1","triandra","triandra","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:424213-1","","Y","Accepted","Themeda triandra","Themeda triandra","Forssk.","895278","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:424213-1","","Poaceae",1,"1","wcvp","","8",true,true
